cited_person_clean,wikidata_id,wikidata_label,cited_gender
François Mitterrand,Q2038,François Mitterrand,male
Michel Rocard,Q12946,Michel Rocard,male
Arlette Laguiller,Q12942,Arlette Laguiller,female
Le Pen,,,unknown
Jean-Marie Le Pen,Q7177,Jean-Marie Le Pen,male
Jacques Chirac,Q2105,Jacques Chirac,male
Valéry Giscard D'Estaing,Q2124,Valéry Giscard d'Estaing,male
Brice Lalonde,Q2512092,Brice Lalonde,male
Giscard D'Estaing,Q2124,Valéry Giscard d'Estaing,male
Georges Pompidou,Q2185,Georges Pompidou,male
Pierre Mauroy,Q156511,Pierre Mauroy,male
Raymond Barre,Q12957,Raymond Barre,male
F. Mitterrand,,,unknown
Président Pompidou,,,unknown
Georges Marchais,Q182192,Georges Marchais,male
Antoine Pinay,Q356724,Antoine Pinay,male
Robert Fabre,Q3435073,Robert Fabre,male
Michel Jobert,Q12960,Michel Jobert,male
Jean Lecanuet,Q537864,Jean Lecanuet,male
De Gaulle,Q2042,Charles de Gaulle,male
"Madame, Mademoiselle, Monsieur",,,unknown
Huguette Bouchardeau,Q3142783,Huguette Bouchardeau,female
Jean-Louis Tixier-Vignancour,Q364377,Jean-Louis Tixier-Vignancour,male
François Mitterand,Q108595960,François Moumbé Fotso,male
Charles De Gaulle,Q2042,Charles de Gaulle,male
De Wendel,,,unknown
André Lajoinie,Q520481,André Lajoinie,male
Pierre Juquin,Q3385657,Pierre Juquin,male
M. Mitterrand,,,unknown
Président Mitterrand,,,unknown
Chère Mademoiselle,,,unknown
Premier Ministre Michel Rocard,,,unknown
François Mitter- Rand,,,unknown
Président De La République François Mitterrand,,,unknown
Antoine Waechter,Q2856831,Antoine Waechter,male
René Dumont,Q927879,René Dumont,male
Gisèle Halimi,Q457705,Gisèle Halimi,female
François Mit- Terrand,,,unknown
Max Gallo,Q516318,Max Gallo,male
R. Barre,Q102117220,R. Barrett,unknown
Jean Rostand,Q287953,Jean Rostand,male
Jacques Monod,Q231402,Jacques Monod,male
Président François Mitterrand,,,unknown
Edgar Faure,Q327013,Edgar Faure,male
Simone De Beauvoir,Q7197,Simone de Beauvoir,female
Gisele Halimi,Q457705,Gisèle Halimi,female
Michel Crepeau,Q348474,Michel Crépeau,male
Président De La,,,unknown
François Loncle,Q3085196,François Loncle,male
Ère Madame,,,unknown
Jean-Louis Masson,Q30377920,Jean-Louis Masson,male
G. Marchais,,,unknown
Jean-Pierre Chevènement,Q736502,Jean-Pierre Chevènement,male
Michel Crépeau,Q348474,Michel Crépeau,male
Fran- Çois Mitterrand,,,unknown
Dominique Baudis,Q1238159,Dominique Baudis,male
Léon Blum,Q18434,Léon Blum,male
Monsieur Mitterrand,,,unknown
. Mitterrand,,,unknown
F. Mitterand,,,unknown
"Madame, Mademoiselle",,,unknown
Gaston Defferre,Q608815,Gaston Defferre,male
M. Rocard,,,unknown
J. Chirac,,,unknown
Alain Vivien,Q2830362,Alain Vivien,male
Jean Rousseau,Q726157,Jean Rousseau,male
Emile Koehl,Q3588589,Émile Koehl,male
Scrutin De Ballottage,,,unknown
Henri Darras,Q3130913,Henri Darras,male
Marcel Rigout,Q3289334,Marcel Rigout,male
Jean-Claude Gaudin,Q670918,Jean-Claude Gaudin,male
Valery Giscard D'Estaing,Q2124,Valéry Giscard d'Estaing,male
Gérard Longuet,Q1360173,Gérard Longuet,male
Michel Barnier,Q438465,Michel Barnier,male
Dominique Voynet,Q268669,Dominique Voynet,female
! Le Pen,,,unknown
Jean Lacombe,Q16645502,Jean Lacombe,male
Pierre Messmer,Q271822,Pierre Messmer,male
Loïc Bouvard,Q3264490,Loïc Bouvard,male
André Durr,Q2847702,André Durr,male
Robert Le Foll,Q16026908,Robert Le Foll,male
V. Giscard D'Estaing,,,unknown
Jean Marie Le Pen,Q7177,Jean-Marie Le Pen,male
Maurice Mercante,,,unknown
Alain Bonnet,Q2617157,Alain Soral,male
Laurent Fabius,Q217070,Laurent Fabius,male
Jacques Guyard,Q3159062,Jacques Guyard,male
Jean-Michel Boucheron,Q3167963,Jean-Michel Boucheron,male
Michel Noir,Q3310469,Michel Noir,male
Monsieur Giscard D'Estaing,,,unknown
François Mitterrand Président De La République,,,unknown
Jean-Jacques Servan-Schreiber,Q431565,Jean-Jacques Servan-Schreiber,male
M. Chirac,,,unknown
Pierre Bas,Q3383888,Pierre Bas,male
Edouard Balladur,Q12959,Édouard Balladur,male
Daniel Le Meur,Q3014302,Daniel Le Meur,male
Jean Papeau,,,unknown
Jean Charbonnel,Q3171228,Jean Charbonnel,male
Jacques Chaban-Delmas,Q12940,Jacques Chaban-Delmas,male
Guy Mollet,Q314006,Guy Mollet,male
Henri Michel,Q434641,Henri Michel,male
Gilbert Millet,Q3105790,Gilbert Millet,male
Alain Richard,Q930418,Alain Richard,male
Georges Hage,Q3102849,Georges Hage,male
M. Barre,Q89814041,Matthew Barrett,male
Gilles De Robien,Q798242,Gilles de Robien,male
Robert Aumont,Q3434472,Robert Aumont,male
Jacques Médecin,Q3159629,Jacques Médecin,male
Charles Ehrmann,Q2959006,Charles Ehrmann,male
